@RELATION mag_train_smote

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 REAL
@ATTRIBUTE attribute_28 REAL
@ATTRIBUTE attribute_29 REAL
@ATTRIBUTE attribute_30 REAL
@ATTRIBUTE attribute_31 {0,1}

@DATA
0.272727273,1,0,1,0,0.382629108,0,0,0,0.538461538,1,0,0,0.5,0,1,1,0,0,0,0,0,0.035714286,0.0625,0,1,0,0,0,1,0.074074074,0
0.727272727,1,0,1,0,0.654929577,0,0,0,0.615384615,0,1,0,0,0,1,1,0,0,0,0,0,0,0.075,1,0,0,0,1,0,0.074074074,0
0.727272727,1,0,1,0,0.521126761,0,0,0,0.461538462,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0625,1,0,0,0,1,0,0.061728395,0
0.454545455,1,0,1,0,0.338028169,0,0,1,0.538461538,1,0,0,0.5,0,1,1,0,0.285714286,0,0,0,0.428571429,0.3125,1,0,0,0,0,1,0.456790123,0
0.272727273,1,0,0,1,0.276995305,0,0,0,0.538461538,1,0,0,0.5,0,1,1,0,0,0,0,0,0.142857143,0.4,1,0,0,0,0,1,0.444444444,0
0.818181818,1,0,1,0,0.713615023,0,0,0,0.692307692,1,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0.1625,1,0,0,0,1,0,0.160493827,0
0.363636364,1,0,0,1,0.384976526,0,0,0,0.615384615,0,1,0,0.5,0,1,1,0,0.028571429,0,0,0,0.107142857,0.15,1,0,0,0,0,1,0.185185185,0
0.636363636,1,0,1,0,0.582159624,0,0,0,0.692307692,1,0,1,1,1,0,0,0,0,0,0,0,0.035714286,0.0125,1,0,0,0,0,1,0.012345679,0
0.636363636,0,1,0,1,0.300469484,0,0,1,0.346153846,1,0,0,0.5,0,1,1,0,0,0,0,0,0.285714286,0.1,0,0,0,0,0,1,0.197530864,0
0.818181818,1,0,0,1,0.624413146,0,0,1,0.615384615,0,1,0,0.5,0,1,1,0,0,0,0,0,0.107142857,0.1,1,0,0,0,0,1,0.135802469,0
0.454545455,0,1,1,0,0.396713615,0,0,1,0.461538462,0,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0.125,1,0,0,0,0,1,0.12345679,0
0.909090909,0,1,1,0,0.638497653,0,0,0,0.538461538,1,0,1,1,1,0,0,0,0,0,0,0,0.071428571,0.15,1,0,0,0,1,0,0.172839506,0
